school,slug,phone,prototype_url,whatsapp_send_link
Capville Schools,capville-schools,08038498375,https://prototypes.feuxlabs.com.ng/capville-schools/,https://wa.me/2348038498375?text=Hi%2C%20this%20is%20Feux%20Labs.%20We%27re%20a%20tech%20studio%20in%20Abuja%20and%20we%20build%20websites%20%26%20apps.%20We%20put%20together%20a%20free%20concept%20preview%20of%20what%20a%20website%20for%20Capville%20Schools%20could%20look%20like%3A%20https%3A//prototypes.feuxlabs.com.ng/capville-schools/%20%E2%80%94%20take%20a%20look%20and%20let%20us%20know%20if%20you%27d%20like%20the%20real%20version%20built.
Cradle To Crayon,cradle-to-crayon,07035954101,https://prototypes.feuxlabs.com.ng/cradle-to-crayon/,https://wa.me/2347035954101?text=Hi%2C%20this%20is%20Feux%20Labs.%20We%27re%20a%20tech%20studio%20in%20Abuja%20and%20we%20build%20websites%20%26%20apps.%20We%20put%20together%20a%20free%20concept%20preview%20of%20what%20a%20website%20for%20Cradle%20To%20Crayon%20could%20look%20like%3A%20https%3A//prototypes.feuxlabs.com.ng/cradle-to-crayon/%20%E2%80%94%20take%20a%20look%20and%20let%20us%20know%20if%20you%27d%20like%20the%20real%20version%20built.
Esty Foundation School,esty-foundation-school,08064731821,https://prototypes.feuxlabs.com.ng/esty-foundation-school/,https://wa.me/2348064731821?text=Hi%2C%20this%20is%20Feux%20Labs.%20We%27re%20a%20tech%20studio%20in%20Abuja%20and%20we%20build%20websites%20%26%20apps.%20We%20put%20together%20a%20free%20concept%20preview%20of%20what%20a%20website%20for%20Esty%20Foundation%20School%20could%20look%20like%3A%20https%3A//prototypes.feuxlabs.com.ng/esty-foundation-school/%20%E2%80%94%20take%20a%20look%20and%20let%20us%20know%20if%20you%27d%20like%20the%20real%20version%20built.
Flyingdove Institute of Information Technology,flyingdove-institute-of-information-technology,09-4820007,https://prototypes.feuxlabs.com.ng/flyingdove-institute-of-information-technology/,https://wa.me/23494820007?text=Hi%2C%20this%20is%20Feux%20Labs.%20We%27re%20a%20tech%20studio%20in%20Abuja%20and%20we%20build%20websites%20%26%20apps.%20We%20put%20together%20a%20free%20concept%20preview%20of%20what%20a%20website%20for%20Flyingdove%20Institute%20of%20Information%20Technology%20could%20look%20like%3A%20https%3A//prototypes.feuxlabs.com.ng/flyingdove-institute-of-information-technology/%20%E2%80%94%20take%20a%20look%20and%20let%20us%20know%20if%20you%27d%20like%20the%20real%20version%20built.
Intl Community School,intl-community-school,08033498741,https://prototypes.feuxlabs.com.ng/intl-community-school/,https://wa.me/2348033498741?text=Hi%2C%20this%20is%20Feux%20Labs.%20We%27re%20a%20tech%20studio%20in%20Abuja%20and%20we%20build%20websites%20%26%20apps.%20We%20put%20together%20a%20free%20concept%20preview%20of%20what%20a%20website%20for%20Intl%20Community%20School%20could%20look%20like%3A%20https%3A//prototypes.feuxlabs.com.ng/intl-community-school/%20%E2%80%94%20take%20a%20look%20and%20let%20us%20know%20if%20you%27d%20like%20the%20real%20version%20built.
Roberto Schools,roberto-schools,08033149714,https://prototypes.feuxlabs.com.ng/roberto-schools/,https://wa.me/2348033149714?text=Hi%2C%20this%20is%20Feux%20Labs.%20We%27re%20a%20tech%20studio%20in%20Abuja%20and%20we%20build%20websites%20%26%20apps.%20We%20put%20together%20a%20free%20concept%20preview%20of%20what%20a%20website%20for%20Roberto%20Schools%20could%20look%20like%3A%20https%3A//prototypes.feuxlabs.com.ng/roberto-schools/%20%E2%80%94%20take%20a%20look%20and%20let%20us%20know%20if%20you%27d%20like%20the%20real%20version%20built.
The Economics Institute Consulting Economists Academy,the-economics-institute-consulting-economists-academy,08025343817,https://prototypes.feuxlabs.com.ng/the-economics-institute-consulting-economists-academy/,https://wa.me/2348025343817?text=Hi%2C%20this%20is%20Feux%20Labs.%20We%27re%20a%20tech%20studio%20in%20Abuja%20and%20we%20build%20websites%20%26%20apps.%20We%20put%20together%20a%20free%20concept%20preview%20of%20what%20a%20website%20for%20The%20Economics%20Institute%20Consulting%20Economists%20Academy%20could%20look%20like%3A%20https%3A//prototypes.feuxlabs.com.ng/the-economics-institute-consulting-economists-academy/%20%E2%80%94%20take%20a%20look%20and%20let%20us%20know%20if%20you%27d%20like%20the%20real%20version%20built.
Unity Schools Old Student Association,unity-schools-old-student-association,08034511091,https://prototypes.feuxlabs.com.ng/unity-schools-old-student-association/,https://wa.me/2348034511091?text=Hi%2C%20this%20is%20Feux%20Labs.%20We%27re%20a%20tech%20studio%20in%20Abuja%20and%20we%20build%20websites%20%26%20apps.%20We%20put%20together%20a%20free%20concept%20preview%20of%20what%20a%20website%20for%20Unity%20Schools%20Old%20Student%20Association%20could%20look%20like%3A%20https%3A//prototypes.feuxlabs.com.ng/unity-schools-old-student-association/%20%E2%80%94%20take%20a%20look%20and%20let%20us%20know%20if%20you%27d%20like%20the%20real%20version%20built.
Word of Faith Group of School,word-of-faith-group-of-school,09-6700519,https://prototypes.feuxlabs.com.ng/word-of-faith-group-of-school/,https://wa.me/23496700519?text=Hi%2C%20this%20is%20Feux%20Labs.%20We%27re%20a%20tech%20studio%20in%20Abuja%20and%20we%20build%20websites%20%26%20apps.%20We%20put%20together%20a%20free%20concept%20preview%20of%20what%20a%20website%20for%20Word%20of%20Faith%20Group%20of%20School%20could%20look%20like%3A%20https%3A//prototypes.feuxlabs.com.ng/word-of-faith-group-of-school/%20%E2%80%94%20take%20a%20look%20and%20let%20us%20know%20if%20you%27d%20like%20the%20real%20version%20built.
Abuja Centre For Arabic Studies (ACAS),abuja-centre-for-arabic-studies-acas,08069665428,https://prototypes.feuxlabs.com.ng/abuja-centre-for-arabic-studies-acas/,https://wa.me/2348069665428?text=Hi%2C%20this%20is%20Feux%20Labs.%20We%27re%20a%20tech%20studio%20in%20Abuja%20and%20we%20build%20websites%20%26%20apps.%20We%20put%20together%20a%20free%20concept%20preview%20of%20what%20a%20website%20for%20Abuja%20Centre%20For%20Arabic%20Studies%20%28ACAS%29%20could%20look%20like%3A%20https%3A//prototypes.feuxlabs.com.ng/abuja-centre-for-arabic-studies-acas/%20%E2%80%94%20take%20a%20look%20and%20let%20us%20know%20if%20you%27d%20like%20the%20real%20version%20built.
Abuja Multilingual School,abuja-multilingual-school,08037256173,https://prototypes.feuxlabs.com.ng/abuja-multilingual-school/,https://wa.me/2348037256173?text=Hi%2C%20this%20is%20Feux%20Labs.%20We%27re%20a%20tech%20studio%20in%20Abuja%20and%20we%20build%20websites%20%26%20apps.%20We%20put%20together%20a%20free%20concept%20preview%20of%20what%20a%20website%20for%20Abuja%20Multilingual%20School%20could%20look%20like%3A%20https%3A//prototypes.feuxlabs.com.ng/abuja-multilingual-school/%20%E2%80%94%20take%20a%20look%20and%20let%20us%20know%20if%20you%27d%20like%20the%20real%20version%20built.
Dayspring Creche Nursery & Primary School,dayspring-creche-nursery-primary-school,+2348053938404,https://prototypes.feuxlabs.com.ng/dayspring-creche-nursery-primary-school/,https://wa.me/2348053938404?text=Hi%2C%20this%20is%20Feux%20Labs.%20We%27re%20a%20tech%20studio%20in%20Abuja%20and%20we%20build%20websites%20%26%20apps.%20We%20put%20together%20a%20free%20concept%20preview%20of%20what%20a%20website%20for%20Dayspring%20Creche%20Nursery%20%26%20Primary%20School%20could%20look%20like%3A%20https%3A//prototypes.feuxlabs.com.ng/dayspring-creche-nursery-primary-school/%20%E2%80%94%20take%20a%20look%20and%20let%20us%20know%20if%20you%27d%20like%20the%20real%20version%20built.
Dynamic Academy Nursery & Primary School,dynamic-academy-nursery-primary-school,08036143081,https://prototypes.feuxlabs.com.ng/dynamic-academy-nursery-primary-school/,https://wa.me/2348036143081?text=Hi%2C%20this%20is%20Feux%20Labs.%20We%27re%20a%20tech%20studio%20in%20Abuja%20and%20we%20build%20websites%20%26%20apps.%20We%20put%20together%20a%20free%20concept%20preview%20of%20what%20a%20website%20for%20Dynamic%20Academy%20Nursery%20%26%20Primary%20School%20could%20look%20like%3A%20https%3A//prototypes.feuxlabs.com.ng/dynamic-academy-nursery-primary-school/%20%E2%80%94%20take%20a%20look%20and%20let%20us%20know%20if%20you%27d%20like%20the%20real%20version%20built.
Esteem International School (Nuru-Islam Abuja),esteem-international-school-nuru-islam-abuja,09-52404505,https://prototypes.feuxlabs.com.ng/esteem-international-school-nuru-islam-abuja/,https://wa.me/234952404505?text=Hi%2C%20this%20is%20Feux%20Labs.%20We%27re%20a%20tech%20studio%20in%20Abuja%20and%20we%20build%20websites%20%26%20apps.%20We%20put%20together%20a%20free%20concept%20preview%20of%20what%20a%20website%20for%20Esteem%20International%20School%20%28Nuru-Islam%20Abuja%29%20could%20look%20like%3A%20https%3A//prototypes.feuxlabs.com.ng/esteem-international-school-nuru-islam-abuja/%20%E2%80%94%20take%20a%20look%20and%20let%20us%20know%20if%20you%27d%20like%20the%20real%20version%20built.
Finaquest Integrated Resources Limited,finaquest-integrated-resources-limited,09-4613741-3,https://prototypes.feuxlabs.com.ng/finaquest-integrated-resources-limited/,https://wa.me/234946137413?text=Hi%2C%20this%20is%20Feux%20Labs.%20We%27re%20a%20tech%20studio%20in%20Abuja%20and%20we%20build%20websites%20%26%20apps.%20We%20put%20together%20a%20free%20concept%20preview%20of%20what%20a%20website%20for%20Finaquest%20Integrated%20Resources%20Limited%20could%20look%20like%3A%20https%3A//prototypes.feuxlabs.com.ng/finaquest-integrated-resources-limited/%20%E2%80%94%20take%20a%20look%20and%20let%20us%20know%20if%20you%27d%20like%20the%20real%20version%20built.
Glory Land Model Sec. Sch.,glory-land-model-sec-sch,08059093398,https://prototypes.feuxlabs.com.ng/glory-land-model-sec-sch/,https://wa.me/2348059093398?text=Hi%2C%20this%20is%20Feux%20Labs.%20We%27re%20a%20tech%20studio%20in%20Abuja%20and%20we%20build%20websites%20%26%20apps.%20We%20put%20together%20a%20free%20concept%20preview%20of%20what%20a%20website%20for%20Glory%20Land%20Model%20Sec.%20Sch.%20could%20look%20like%3A%20https%3A//prototypes.feuxlabs.com.ng/glory-land-model-sec-sch/%20%E2%80%94%20take%20a%20look%20and%20let%20us%20know%20if%20you%27d%20like%20the%20real%20version%20built.
Golden Gate School,golden-gate-school,08033174931,https://prototypes.feuxlabs.com.ng/golden-gate-school/,https://wa.me/2348033174931?text=Hi%2C%20this%20is%20Feux%20Labs.%20We%27re%20a%20tech%20studio%20in%20Abuja%20and%20we%20build%20websites%20%26%20apps.%20We%20put%20together%20a%20free%20concept%20preview%20of%20what%20a%20website%20for%20Golden%20Gate%20School%20could%20look%20like%3A%20https%3A//prototypes.feuxlabs.com.ng/golden-gate-school/%20%E2%80%94%20take%20a%20look%20and%20let%20us%20know%20if%20you%27d%20like%20the%20real%20version%20built.
Hills Montessori School,hills-montessori-school,08131144013,https://prototypes.feuxlabs.com.ng/hills-montessori-school/,https://wa.me/2348131144013?text=Hi%2C%20this%20is%20Feux%20Labs.%20We%27re%20a%20tech%20studio%20in%20Abuja%20and%20we%20build%20websites%20%26%20apps.%20We%20put%20together%20a%20free%20concept%20preview%20of%20what%20a%20website%20for%20Hills%20Montessori%20School%20could%20look%20like%3A%20https%3A//prototypes.feuxlabs.com.ng/hills-montessori-school/%20%E2%80%94%20take%20a%20look%20and%20let%20us%20know%20if%20you%27d%20like%20the%20real%20version%20built.
Kings Ville College,kings-ville-college,09-2901856,https://prototypes.feuxlabs.com.ng/kings-ville-college/,https://wa.me/23492901856?text=Hi%2C%20this%20is%20Feux%20Labs.%20We%27re%20a%20tech%20studio%20in%20Abuja%20and%20we%20build%20websites%20%26%20apps.%20We%20put%20together%20a%20free%20concept%20preview%20of%20what%20a%20website%20for%20Kings%20Ville%20College%20could%20look%20like%3A%20https%3A//prototypes.feuxlabs.com.ng/kings-ville-college/%20%E2%80%94%20take%20a%20look%20and%20let%20us%20know%20if%20you%27d%20like%20the%20real%20version%20built.
Kip Mc Great Education Centre,kip-mc-great-education-centre,08034048732,https://prototypes.feuxlabs.com.ng/kip-mc-great-education-centre/,https://wa.me/2348034048732?text=Hi%2C%20this%20is%20Feux%20Labs.%20We%27re%20a%20tech%20studio%20in%20Abuja%20and%20we%20build%20websites%20%26%20apps.%20We%20put%20together%20a%20free%20concept%20preview%20of%20what%20a%20website%20for%20Kip%20Mc%20Great%20Education%20Centre%20could%20look%20like%3A%20https%3A//prototypes.feuxlabs.com.ng/kip-mc-great-education-centre/%20%E2%80%94%20take%20a%20look%20and%20let%20us%20know%20if%20you%27d%20like%20the%20real%20version%20built.
Mabela Day Care And Nursery School,mabela-day-care-and-nursery-school,09-4130807,https://prototypes.feuxlabs.com.ng/mabela-day-care-and-nursery-school/,https://wa.me/23494130807?text=Hi%2C%20this%20is%20Feux%20Labs.%20We%27re%20a%20tech%20studio%20in%20Abuja%20and%20we%20build%20websites%20%26%20apps.%20We%20put%20together%20a%20free%20concept%20preview%20of%20what%20a%20website%20for%20Mabela%20Day%20Care%20And%20Nursery%20School%20could%20look%20like%3A%20https%3A//prototypes.feuxlabs.com.ng/mabela-day-care-and-nursery-school/%20%E2%80%94%20take%20a%20look%20and%20let%20us%20know%20if%20you%27d%20like%20the%20real%20version%20built.
Oasis International School,oasis-international-school,09-5210193,https://prototypes.feuxlabs.com.ng/oasis-international-school/,https://wa.me/23495210193?text=Hi%2C%20this%20is%20Feux%20Labs.%20We%27re%20a%20tech%20studio%20in%20Abuja%20and%20we%20build%20websites%20%26%20apps.%20We%20put%20together%20a%20free%20concept%20preview%20of%20what%20a%20website%20for%20Oasis%20International%20School%20could%20look%20like%3A%20https%3A//prototypes.feuxlabs.com.ng/oasis-international-school/%20%E2%80%94%20take%20a%20look%20and%20let%20us%20know%20if%20you%27d%20like%20the%20real%20version%20built.
Seat Of Excellence,seat-of-excellence,07055885000,https://prototypes.feuxlabs.com.ng/seat-of-excellence/,https://wa.me/2347055885000?text=Hi%2C%20this%20is%20Feux%20Labs.%20We%27re%20a%20tech%20studio%20in%20Abuja%20and%20we%20build%20websites%20%26%20apps.%20We%20put%20together%20a%20free%20concept%20preview%20of%20what%20a%20website%20for%20Seat%20Of%20Excellence%20could%20look%20like%3A%20https%3A//prototypes.feuxlabs.com.ng/seat-of-excellence/%20%E2%80%94%20take%20a%20look%20and%20let%20us%20know%20if%20you%27d%20like%20the%20real%20version%20built.
Shepherds-Fields Academy,shepherds-fields-academy,08033074282,https://prototypes.feuxlabs.com.ng/shepherds-fields-academy/,https://wa.me/2348033074282?text=Hi%2C%20this%20is%20Feux%20Labs.%20We%27re%20a%20tech%20studio%20in%20Abuja%20and%20we%20build%20websites%20%26%20apps.%20We%20put%20together%20a%20free%20concept%20preview%20of%20what%20a%20website%20for%20Shepherds-Fields%20Academy%20could%20look%20like%3A%20https%3A//prototypes.feuxlabs.com.ng/shepherds-fields-academy/%20%E2%80%94%20take%20a%20look%20and%20let%20us%20know%20if%20you%27d%20like%20the%20real%20version%20built.
Solid,solid,07042284459,https://prototypes.feuxlabs.com.ng/solid/,https://wa.me/2347042284459?text=Hi%2C%20this%20is%20Feux%20Labs.%20We%27re%20a%20tech%20studio%20in%20Abuja%20and%20we%20build%20websites%20%26%20apps.%20We%20put%20together%20a%20free%20concept%20preview%20of%20what%20a%20website%20for%20Solid%20could%20look%20like%3A%20https%3A//prototypes.feuxlabs.com.ng/solid/%20%E2%80%94%20take%20a%20look%20and%20let%20us%20know%20if%20you%27d%20like%20the%20real%20version%20built.
Crown International Academy,crown-international-academy,,https://prototypes.feuxlabs.com.ng/crown-international-academy/,
Divine Mercy Sec. School,divine-mercy-sec-school,08055604515,https://prototypes.feuxlabs.com.ng/divine-mercy-sec-school/,https://wa.me/2348055604515?text=Hi%2C%20this%20is%20Feux%20Labs.%20We%27re%20a%20tech%20studio%20in%20Abuja%20and%20we%20build%20websites%20%26%20apps.%20We%20put%20together%20a%20free%20concept%20preview%20of%20what%20a%20website%20for%20Divine%20Mercy%20Sec.%20School%20could%20look%20like%3A%20https%3A//prototypes.feuxlabs.com.ng/divine-mercy-sec-school/%20%E2%80%94%20take%20a%20look%20and%20let%20us%20know%20if%20you%27d%20like%20the%20real%20version%20built.
Funtaj Intl School,funtaj-intl-school,08038814742,https://prototypes.feuxlabs.com.ng/funtaj-intl-school/,https://wa.me/2348038814742?text=Hi%2C%20this%20is%20Feux%20Labs.%20We%27re%20a%20tech%20studio%20in%20Abuja%20and%20we%20build%20websites%20%26%20apps.%20We%20put%20together%20a%20free%20concept%20preview%20of%20what%20a%20website%20for%20Funtaj%20Intl%20School%20could%20look%20like%3A%20https%3A//prototypes.feuxlabs.com.ng/funtaj-intl-school/%20%E2%80%94%20take%20a%20look%20and%20let%20us%20know%20if%20you%27d%20like%20the%20real%20version%20built.
Government Sec. School Lugbe,government-sec-school-lugbe,,https://prototypes.feuxlabs.com.ng/government-sec-school-lugbe/,
Junior Secondary School Apo,junior-secondary-school-apo,08023082824,https://prototypes.feuxlabs.com.ng/junior-secondary-school-apo/,https://wa.me/2348023082824?text=Hi%2C%20this%20is%20Feux%20Labs.%20We%27re%20a%20tech%20studio%20in%20Abuja%20and%20we%20build%20websites%20%26%20apps.%20We%20put%20together%20a%20free%20concept%20preview%20of%20what%20a%20website%20for%20Junior%20Secondary%20School%20Apo%20could%20look%20like%3A%20https%3A//prototypes.feuxlabs.com.ng/junior-secondary-school-apo/%20%E2%80%94%20take%20a%20look%20and%20let%20us%20know%20if%20you%27d%20like%20the%20real%20version%20built.
Newsky Intl School,newsky-intl-school,08074164918,https://prototypes.feuxlabs.com.ng/newsky-intl-school/,https://wa.me/2348074164918?text=Hi%2C%20this%20is%20Feux%20Labs.%20We%27re%20a%20tech%20studio%20in%20Abuja%20and%20we%20build%20websites%20%26%20apps.%20We%20put%20together%20a%20free%20concept%20preview%20of%20what%20a%20website%20for%20Newsky%20Intl%20School%20could%20look%20like%3A%20https%3A//prototypes.feuxlabs.com.ng/newsky-intl-school/%20%E2%80%94%20take%20a%20look%20and%20let%20us%20know%20if%20you%27d%20like%20the%20real%20version%20built.
Spring Of Knowledge Academy,spring-of-knowledge-academy,07026090302,https://prototypes.feuxlabs.com.ng/spring-of-knowledge-academy/,https://wa.me/2347026090302?text=Hi%2C%20this%20is%20Feux%20Labs.%20We%27re%20a%20tech%20studio%20in%20Abuja%20and%20we%20build%20websites%20%26%20apps.%20We%20put%20together%20a%20free%20concept%20preview%20of%20what%20a%20website%20for%20Spring%20Of%20Knowledge%20Academy%20could%20look%20like%3A%20https%3A//prototypes.feuxlabs.com.ng/spring-of-knowledge-academy/%20%E2%80%94%20take%20a%20look%20and%20let%20us%20know%20if%20you%27d%20like%20the%20real%20version%20built.
Christ Academy Intl School,christ-academy-intl-school,,https://prototypes.feuxlabs.com.ng/christ-academy-intl-school/,
Intl Institute Of Journalism,intl-institute-of-journalism,08069207383,https://prototypes.feuxlabs.com.ng/intl-institute-of-journalism/,https://wa.me/2348069207383?text=Hi%2C%20this%20is%20Feux%20Labs.%20We%27re%20a%20tech%20studio%20in%20Abuja%20and%20we%20build%20websites%20%26%20apps.%20We%20put%20together%20a%20free%20concept%20preview%20of%20what%20a%20website%20for%20Intl%20Institute%20Of%20Journalism%20could%20look%20like%3A%20https%3A//prototypes.feuxlabs.com.ng/intl-institute-of-journalism/%20%E2%80%94%20take%20a%20look%20and%20let%20us%20know%20if%20you%27d%20like%20the%20real%20version%20built.
Metro International School,metro-international-school,,https://prototypes.feuxlabs.com.ng/metro-international-school/,
National Defence College,national-defence-college,,https://prototypes.feuxlabs.com.ng/national-defence-college/,
